EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-473973,CCOCCOC(C)=O,0.96194424859898,0.206806488,-7.391699263,6.7842,"[1, 1, 0, 0, 0]",1,-0.33971075678103600,0.1411342473569990,0.06644658729731230
ep-475216,CCOC(OC)C(C)=O,0.8060399518471280,0.440280128,-7.581090468,8.216,"[1, 1, 0, 0, 0]",1,-0.10008515672808700,0.15137411092728600,-0.5897948337239410
ep-475224,COC(OC)C(=O)C=O,0.6981574511926830,-0.246535103,-8.32096789,4.0455,"[1, 1, 0, 0, 0]",1,0.8901334919801260,-0.19769344606302800,-1.1547737861161900
ep-475228,CCC(OC)OC(C)=O,1.0031669767227200,0.190207546,-7.391699263,2.795,"[1, 1, 0, 0, 0]",1,-0.5134383664390680,0.07931681742482020,0.3709872401953090
ep-475268,COC(CC(C)=O)OC,0.7620303630854010,0.545043941,-7.356596583,6.5503,"[1, 1, 0, 0, 0]",1,-0.6281589234950090,0.23524905771552900,-0.48608707747480000
ep-475700,COC(=O)CC(C)C=O,1.105966549891360,0.193200798,-7.457550803,3.6138,"[1, 1, 0, 0, 0]",1,-0.25438117810574200,0.035701682915085900,0.5735183440687210
ep-475729,COC(=O)C(=O)C(C)C,0.8823339438674210,0.044354549,-7.833067847,1.7235,"[1, 1, 0, 0, 0]",1,0.08357492136516130,-0.07459323628206710,-0.21334795700153100
ep-475820,CCCC(=O)C(=O)OC,0.8805536656848110,-0.177690311,-7.827353457,1.7894,"[1, 1, 0, 0, 0]",1,0.08779327805715800,-0.08872348762626440,-0.19835164639851700
ep-475822,CCC(=O)C(=O)COC,0.5826977993728710,0.024762356,-7.906266459,6.5111,"[1, 0, 0, 0, 0]",1,0.008286427400378840,-1.3543737682678600,-1.4211049664881100
ep-475867,CCC(=O)CC(=O)OC,0.3950677585285070,-0.019592194,-7.541089739,3.1449,"[1, 1, 0, 0, 0]",1,-0.8207162791221010,0.18547208589500500,-1.4328539670847200
ep-476135,COCC(=O)C(=O)C=O,0.9684234583819940,-0.651984665,-8.321512118,4.9451,"[1, 0, 0, 0, 0]",1,1.0599557505508400,-1.6915164039620200,-0.5015523474256830
ep-476136,CCOCC(=O)CC=O,0.4631052806573900,0.031565201,-7.582178923,5.7027,"[1, 0, 0, 0, 0]",1,-0.714990094387864,-1.2091878944024300,-1.490919960379390
ep-476161,COC(C)CC(=O)C=O,1.1423370120280500,-0.404088993,-7.927219222,3.2445,"[1, 1, 0, 0, 0]",1,0.6088997403316850,-0.20081752235776200,0.41471098325723100
ep-477198,COC(C)(C)C(=O)C=O,0.6001027928467480,-0.401639969,-7.986267916,4.6727,"[1, 1, 0, 0, 0]",1,0.25598846216895700,-0.05000622429165740,-1.210601669043230
ep-478336,COC(C=O)CC(C)=O,0.2076184771260930,0.398102489,-7.4673469,6.1677,"[1, 1, 0, 0, 0]",1,-0.992729702516751,0.33642015878795900,-2.08360608399266
ep-478381,COCC(C)C(=O)OC,1.0568131347632500,0.317556805,-7.42299235,6.9241,"[1, 1, 0, 0, 0]",1,-0.19094470038545400,0.11285100527098900,0.2937314048171530
ep-481546,COC(C)(C=O)C(C)=O,0.6267196536792820,0.222316975,-7.73374631,4.122,"[1, 1, 0, 0, 0]",1,-0.22005132399918600,0.07875980339270310,-0.9868213416025490
ep-481548,CCOC(C)(C)C(C)=O,1.0307587575721200,0.697971897,-7.409930888,2.1118,"[1, 1, 0, 0, 0]",1,-0.5197600874453180,0.09648200025128770,0.42392701664907900
ep-482177,COCCOC(=O)OC,0.6063884171321390,-0.167622101,-7.42299235,3.1255,"[1, 1, 0, 0, 0]",1,-0.8109188301582790,0.1569211279135490,-0.7454439707121750
ep-483118,CCOC(C)C(=O)C=O,0.6371461650225040,-0.408987041,-8.069262625,3.8126,"[1, 1, 0, 0, 0]",1,0.39027807395228700,-0.10249633400288700,-1.1240501215045800
ep-483331,CCOCCC(=O)OC,1.01397308726527,0.158370232,-7.438230723,4.6447,"[1, 1, 0, 0, 0]",1,-0.3206455562823570,0.07902050560691890,0.28423567179939000
ep-483336,CCOC(=O)CCOC,0.9813201192024170,0.19047966,-7.402583815,6.62,"[1, 1, 0, 0, 0]",1,-0.30976985627043500,0.1282546961339040,0.12213906921456500
ep-483371,CCOCC(=O)COC,0.3951792589234850,0.396197693,-7.490476573,4.9219,"[1, 0, 0, 0, 0]",1,-1.0029925266866400,-1.1364049656872300,-1.6111662734459700
ep-483949,CCCC(=O)OCC=O,1.0599264625622300,0.004898048,-7.683133143,3.5953,"[1, 1, 0, 0, 0]",1,0.10102079437550000,-0.04999475128483880,0.30368004445729600
ep-483951,CCCC(=O)OCOC,0.9963047390500530,0.199731529,-7.466802672,5.3923,"[1, 1, 0, 0, 0]",1,-0.2504278704858940,0.08586861670307020,0.1760422429619740
ep-483969,CCCCC(=O)OC=O,0.6714129298041780,0.10313113,-7.936198977,2.1448,"[1, 1, 0, 0, 0]",1,0.07484331157352590,-0.042753600139821700,-0.900406216564026
ep-483983,CCC(=O)C(C)OC=O,0.6364331619634860,0.362455582,-7.58626063,2.2786,"[1, 1, 0, 0, 0]",1,-0.5734192484763270,0.11930864080378200,-0.7815172493284600
ep-484048,CC(=O)CC(C)OC=O,0.9904262488142810,-0.001904797,-7.477959338,6.5949,"[1, 1, 0, 0, 0]",1,-0.16081800100161100,0.08214254724974660,0.11247790599669400
ep-484088,COCCCC(=O)OC,0.9561247142036570,0.288168514,-7.350882193,7.9624,"[1, 1, 0, 0, 0]",1,-0.3571783117555220,0.17877514091525,0.016319175374275400
ep-485810,CC(=O)OC(=O)C(C)C,0.5645710010708480,0.105580154,-7.728576148,4.1921,"[1, 1, 0, 0, 0]",1,-0.27975401292357900,0.0900770225652651,-1.150281918146150
ep-485815,CCC(=O)OC(C)OC,0.9780227702005260,0.231024616,-7.377277232,3.2654,"[1, 1, 0, 0, 0]",1,-0.5400220757365770,0.10083600737457200,0.2851213792123340
ep-485818,CCC(=O)OC(=O)CC,0.5522485637533210,0.167349987,-7.711160864,3.689,"[1, 1, 0, 0, 0]",1,-0.35259971125450200,0.09880979602182680,-1.1541545098319500
ep-485825,COCOC(=O)C(C)C,0.9937986511410860,0.247351444,-7.453196982,6.9858,"[1, 1, 0, 0, 0]",1,-0.19319558785262500,0.11486207767637000,0.09945187959766580
ep-485842,CC(=O)OC(C)C(C)=O,0.5889515602025380,0.216058357,-7.437686495,3.2784,"[1, 1, 0, 0, 0]",1,-0.81559798587509,0.18867310758447900,-0.8446648906367870
ep-485844,CC(=O)OC(C)CC=O,1.028878133918830,0.129254055,-7.476598769,5.1179,"[1, 1, 0, 0, 0]",1,-0.2123592740705570,0.06398873665490990,0.27924711361130500
ep-485862,CCOC(C)OC(C)=O,0.9582980531266200,0.188574863,-7.378909915,2.0518,"[1, 1, 0, 0, 0]",1,-0.6196344357058000,0.0876941645760765,0.28960011725641900
ep-485899,COC(=O)OC(C)OC,1.080758410902910,-0.262861931,-7.491837142,1.9333,"[1, 1, 0, 0, 0]",1,-0.284983718158148,-0.026415379324862000,0.597283544655473
ep-485900,CCOCOC(=O)OC,1.0811127341646500,-0.30503957,-7.513062018,3.0271,"[1, 1, 0, 0, 0]",1,-0.18651383947582000,-0.02437599642224550,0.5355191986313810
ep-485903,CCOC(=O)OCOC,0.848059243811774,-0.331706722,-7.540273398,3.6079,"[1, 1, 0, 0, 0]",1,-0.33526292743037,0.03716653721655770,-0.16039127307290200
ep-485914,COC(OC)OC(C)=O,0.7809327329020400,0.162724052,-7.519048522,4.5692,"[1, 1, 0, 0, 0]",1,-0.4135439483944170,0.11509863642354600,-0.420977146201043
ep-485935,COCOCOC(C)=O,0.868893406572596,0.069661133,-7.539184943,6.2531,"[1, 1, 0, 0, 0]",1,-0.19633789399995300,0.09566399313779240,-0.2603833021722570
ep-486860,CCCOC(=O)CC=O,1.1204215858827200,0.005442276,-7.620546969,3.1633,"[1, 1, 0, 0, 0]",1,0.0285505466150931,-0.049296732523054500,0.5370304267826320
ep-486877,CC(C)OCC(=O)C=O,0.5749688951735290,-0.469396305,-8.046132952,3.4392,"[1, 1, 0, 0, 0]",1,0.2723674554027300,-0.08546351230394350,-1.258958423114570
ep-486879,CCCOCC(=O)C=O,0.5914023623325790,-0.401095741,-8.041507018,7.9927,"[1, 0, 0, 0, 0]",1,0.35484310396453900,-1.4226658237042300,-1.5247391412192100
ep-486882,O=CCOCC(=O)C=O,0.7851995368761960,-0.500145164,-7.866537844,7.0482,"[1, 0, 0, 0, 0]",1,0.19623118653109700,-1.4325137101993900,-0.8071222713001050
ep-486916,COCOCC(=O)C=O,0.3772161745094230,-0.064490971,-8.207224322,5.0141,"[1, 0, 0, 0, 0]",1,0.25267957485060300,-1.4326647972730100,-2.1285825606424900
ep-486999,CCC(C)OCC(C)=O,0.971816883888991,0.538241096,-7.404488612,6.9688,"[1, 1, 0, 0, 0]",1,-0.3162817213053490,0.16203588995550500,0.0479323923318557
ep-487052,CCCOC(=O)C(C)=O,0.8524317992926210,-0.28571949,-7.823543864,1.7767,"[1, 1, 0, 0, 0]",1,0.05889709782962790,-0.08796646780071780,-0.26445259788424200
ep-487071,CCC(=O)COCC=O,0.4963198039712930,0.510213375,-7.375644549,5.6292,"[1, 0, 0, 0, 0]",1,-1.0710232021752300,-1.1050488503576500,-1.2909101560726100
ep-487088,COCOC(C)C(C)=O,0.9522262077001540,0.688447914,-7.360406176,8.1682,"[1, 1, 0, 0, 0]",1,-0.35560342066301900,0.2105330887340120,-0.045331488141340700
ep-487104,CCC(C)OC(=O)OC,1.0678501461516700,0.429939804,-7.355236014,1.4077,"[1, 1, 0, 0, 0]",1,-0.6012871180985900,0.07637555343018550,0.6221735860275250
ep-487132,CC(=O)OCOC(C)C,0.9885015083967930,0.124083893,-7.491565028,1.996,"[1, 1, 0, 0, 0]",1,-0.39408937481874300,0.031450596134734800,0.30327058113600800
ep-487154,CCC(=O)COCOC,0.8701228965898700,0.540145893,-7.382991622,3.9724,"[1, 0, 0, 0, 0]",1,-0.7824170694184780,-1.2325609507256200,-0.17520736722062600
ep-487162,COC(=O)OCC(C)C,1.0545537148221600,-0.099321537,-7.391155036,2.2346,"[1, 1, 0, 0, 0]",1,-0.4781021646878930,0.03507312292829280,0.5663369155673060
ep-487165,CCCCOC(=O)OC,1.137766125337190,-0.068300564,-7.380270484,1.3921,"[1, 1, 0, 0, 0]",1,-0.46245736389213700,0.007478143578243900,0.8436903431681790
ep-487172,CCOCOC(=O)CC,0.9885419114674560,0.203269009,-7.381358939,2.1632,"[1, 1, 0, 0, 0]",1,-0.5805138592633710,0.08065695543686090,0.36595915625757000
ep-487193,CCCOCOC(C)=O,0.8658132705800820,0.107757065,-7.482585272,2.9982,"[1, 1, 0, 0, 0]",1,-0.47512407600531800,0.08082388802137240,-0.07934234838436650
ep-5018,CCOC(=O)C=O,1.0539303546118300,-0.421504276,-7.953886374,4.0086,"[1, 1, 0, 0, 0]",1,0.6105401103317780,-0.17747684917998000,0.11429062094081100
ep-5049,COCOC(C)=O,1.008715862362890,0.145308769,-7.497551531,7.4201,"[1, 1, 0, 0, 0]",1,-0.07256857031069890,0.09136035019463280,0.09839664399224820
ep-508,CCC(C)OC,2.061357100210420,8.202870501,-7.739188586,1.4419,"[1, 1, 0, 0, 0]",1,0.6100757362777500,0.2649818051213930,2.4623156720490700
ep-5279,CCOC(=O)OC,1.102803270421940,-0.187214294,-7.400679019,1.5168,"[1, 1, 0, 0, 0]",1,-0.44806293469025800,0.002018159503745350,0.735946951200123
ep-549,CCOC(C)C,1.0326199931912200,8.371853171,-7.700004199,1.527,"[1, 1, 0, 0, 0]",1,-0.4722994014367680,0.5881906303892050,-0.4058085060770660
ep-5606,COC(OC)OC,0.7319422889822690,7.918783694,-8.203686842,4.2862,"[1, 1, 0, 0, 0]",1,0.2798588345679270,0.48506390644551000,-1.690770875363510
ep-597285,CCC(C)CCC(C)OC,0.9224898476154990,8.241782774,-7.64422087,6.3477,"[1, 1, 0, 0, 0]",1,-0.40994879615391400,0.6889774897616960,-0.8905130429610660
ep-598874,COC(C)CCCC(C)C,0.906107155866419,8.12831132,-7.658642901,8.1853,"[1, 1, 0, 0, 0]",1,-0.29563768312208700,0.7017724970763010,-1.023214573417940
ep-599150,CCCCCC(CC)OC,0.9123734597589810,8.1791966,-7.637418025,7.4268,"[1, 1, 0, 0, 0]",1,-0.37001284300590400,0.702622661170913,-0.9594695082564830
ep-603042,CCC(C(C)C)C(C)OC,0.914184585006536,8.10327685,-7.651567942,5.3856,"[1, 1, 0, 0, 0]",1,-0.4495542790302470,0.6659202209684970,-0.8616939325875680
ep-607990,COC(C)(OC)C(C)(C)C,0.9853358751095240,8.062187666,-7.820822726,2.9765,"[1, 1, 0, 0, 0]",1,-0.21387665741389800,0.55006703786802,-0.6643859705814100
ep-608193,CCC(C)(CC)C(C)OC,0.9405785545958940,8.120147906,-7.582723151,4.9195,"[1, 1, 0, 0, 0]",1,-0.5690893021606670,0.6795709564616080,-0.71912406197501
ep-608200,CCCC(C)(C)C(C)OC,0.8639733256087060,8.211306029,-7.620819083,6.1593,"[1, 1, 0, 0, 0]",1,-0.5164236436995210,0.7096912147312530,-1.0262741706792900
ep-608237,COC(C(C)C)C(C)(C)C,0.8720109524822840,8.09538555,-7.619458514,3.8384,"[1, 1, 0, 0, 0]",1,-0.6296103185131210,0.6703858869066260,-0.8836075336938760
